txt_extract
"Herbai v. Hungary, no. 11608/15, 5 November 2019"
"Hoppen and trade union of AB Amber Grid employees v. Lithuania, no. 976/20, 17 January 2023"
"Horváth and Kiss v. Hungary, no. 11146/11, 29 January 2013"
"Howald Moor and Others v. Switzerland, nos. 52067/10 and 41072/11, 11 March 2014"
"Hudorovič and Others v. Slovenia, nos. 24816/14 and 25140/14, 10 March 2020"
"Hutten-Czapska v. Poland [GC], no. 35014/97, ECHR 2006-VIII"
"I.B. v. Greece, no. 552/10, ECHR 2013"
"I.G. and Others v. Slovakia, no. 15966/04, 13 November 2012"
"Ivanova and Cherkezov v. Bulgaria, no. 46577/15, 21 April 2016"
"J.D. and A v. the United Kingdom, nos. 32949/17 and 34614/17, 24 October 2019"
"Jankauskas v. Lithuania (no. 2), no. 50446/09, 27 June 2017"
"Junta Rectora Del Ertzainen Nazional Elkartasuna (ER.N.E.) v. Spain, no. 45892/09, 21 April 2015"
"Jurčić v. Croatia, no. 54711/15, 4 February 2021"
"Karlheinz Schmidt v. Germany, 18 July 1994, Series A no. 291-B"
"Karner v. Austria, no. 40016/98, ECHR 2003-IX"
"Kasmi v. Albania, no. 1175/06, 23 June 2020"
"Kaya and Seyhan v. Turkey, no. 30946/04, 15 September 2009"
"Kaymak and Others v. Türkiye,* no. 62239/12, 20 June 2023"
"Khan v. France, no. 12267/16, 28 February 2019"
"Kjartan Ásmundsson v. Iceland, no. 60669/00, ECHR 2004-IX"
"Klein v. Austria, no. 57028/00, 3 March 2011"
"Kosiek v. Germany, 28 August 1986, Series A no. 105"
"Konstantin Markin v. Russia [GC], no. 30078/06, ECHR 2012 (extracts)"
"Koua Poirrez v. France, no. 40892/98, ECHR 2003-X"
"Koufaki and Adedy v. Greece (dec.), nos. 57665/12 and 57657/12, 7 May 2013"
"Kozak v. Poland, no. 13102/02, 2 March 2010"
"Kubát and Others v. the Czech Republic,* nos. 61721/19 and 5 others, 22 June 2023"
"Kudeshkina v. Russia, no. 29492/05, 26 February 2009"
"Kurtulmuş v. Turkey (dec.), no. 65500/01, ECHR 2006-II"
"L.F. v. the United Kingdom (dec.), no. 19839/21, 24 May 2022"
"L.L. v. France, no. 7508/02, ECHR 2006-XI"
"Lacatus v. Switzerland, no. 14065/15, 19 January 2021"
"Larissis and Others v. Greece, 24 February 1998, Reports of Judgments and Decisions 1998-I"
"Lavida and Others v. Greece, no. 7973/10, 30 May 2013"
"Leander v. Sweden, 26 March 1987, Series A no. 116"
"Lindheim and Others v. Norway, nos. 13221/08 and 2139/10, 12 June 2012"
"Lombardi Vallauri v. Italy, no. 39128/05, 20 October 2009"
"Luczak v. Poland, no. 77782/01, 27 November 2007"
"Lustig-Prean and Beckett v. the United Kingdom, nos. 31417/96 and 32377/96, 27 September 1999"
"M.A. v. Italy,* no. 70583/17, 31 August 2023"
"M.S.S. v. Belgium and Greece [GC], no. 30696/09, ECHR 2011"
"Mago and Others v. Bosnia and Herzegovina, nos. 12959/05 and 5 others, 3 May 2012"
"Manole and “Romanian Farmers Direct” v. Romania, no. 46551/06, 16 June 2015"
"Matelly v. France, no. 10609/10, 2 October 2014"
"Matúz v. Hungary, no. 73571/10, 21 October 2014"
"McCann v. the United Kingdom, no. 19009/04, ECHR 2008"
"Mennesson v. France, no. 65192/11, ECHR 2014 (extracts)"
"Mocie v. France, no. 46096/99, 8 April 2003"
"Moraru and Marin v. Romania, nos. 53282/18 and 31428/20, 20 December 2022"
"Moustahi v. France, no. 9347/14, 25 June 2020"
"Mółka v. Poland (dec.), no. 56550/00, 11 April 2006"
"Moskal v. Poland, no. 10373/05, 15 September 2009"
"Mubilanzila Mayeka and Kaniki Mitunga v. Belgium, no. 13178/03, ECHR 2006-XI"
"Muñoz Díaz v. Spain, no. 49151/07, ECHR 2009"
"Muskhadzhiyeva and Others v. Belgium, no. 41442/07, 19 January 2010"
"Mytilinaios and Kostakis v. Greece, no. 29389/11, 3 December 2015"
"N. v. the United Kingdom [GC], no. 26565/05, ECHR 2008"
"N.B. v. Slovakia, no. 29518/10, 12 June 2012"
"N.H. and Others v. France, nos. 28820/13 and 2 others, 2 July 2020"
"N.T.P. and Others v. France, no. 68862/13, 24 May 2018"
"Naidin v. Romania, no. 38162/07, 21 October 2014"
"Napotnik v. Romania, no. 33139/13, 20 October 2020"
"National Union of Belgian Police v. Belgium, 27 October 1975, Series A no. 19"
"National Union of Rail, Maritime and Transport Workers v. the United Kingdom, no. 31045/10, ECHR 2014"
"Niedzwiecki v. Germany, no. 58453/00, 25 October 2005"
"O’Rourke v. UK (dec.), no. 39022/97, 26 June 2001"
"Obst v. Germany, no. 425/03, 23 September 2010"
"Ognevenko v. Russia, no. 44873/09, 20 November 2018"
"Okpisz v. Germany, no. 59140/00, 25 October 2005"
"Oleksandr Volkov v. Ukraine, no. 21722/11, ECHR 2013"
"Orlić v. Croatia, no. 48833/07, 21 June 2011"
"Oršuš and Others v. Croatia [GC], no. 15766/03, ECHR 2010"
"Özpınar v. Turkey, no. 20999/04, 19 October 2010"
"P. and S. v. Poland, no. 57375/08, 30 October 2012"
"P.B. and J.S. v. Austria, no. 18984/02, 22 July 2010"
"Palomo Sánchez and Others v. Spain [GC], nos. 28955/06 and 3 others, ECHR 2011"
"Paposhvili v. Belgium [GC], no. 41738/10, 13 December 2016"
"Paradiso and Campanelli v. Italy [GC], no. 25358/12, 24 January 2017"
"Perkins and R. v. the United Kingdom, nos. 43208/98 and 44875/98, 22 October 2002"
"Petrovic v. Austria, 27 March 1998, Reports of Judgments and Decisions 1998-II"
"Philippou v. Cyprus, no. 71148/10, 14 June 2016"
"Pibernik v. Croatia, no. 75139/01, 4 March 2004"
"Pichkur v. Ukraine, no. 10441/06, 7 November 2013"
"Pişkin v. Turkey, no. 33399/18, 15 December 2020"
"Polyakh and Others v. Ukraine, nos. 58812/15 and 4 others, 17 October 2019"
"Popov v. France, nos. 39472/07 and 39474/07, 19 January 2012"
"Popović and Others v. Serbia, nos. 26944/13 and 3 others, 30 June 2020"
"Prokopovich v. Russia, no. 58255/00, ECHR 2004-XI (extracts)"
"R.R. v. Poland, no. 27617/04, ECHR 2011 (extracts)"
"Rantsev v. Cyprus and Russia, no. 25965/04, ECHR 2010 (extracts)"
"Rainys and Gasparavičius v. Lithuania, nos. 70665/01 and 74345/01, 7 April 2005"
"Redfearn v. the United Kingdom, no. 47335/06, 6 November 2012"
"Regner v. the Czech Republic [GC], no. 35289/11, 19 September 2017"
"Roche v. the United Kingdom [GC], no. 32555/96, ECHR 2005-X"
"Romeva v. North Macedonia, no. 32141/10, 12 December 2019"
"Runkee and White v. the United Kingdom, nos. 42949/98 and 53134/99, 10 May 2007"
"Ryser v. Switzerland, no. 23040/13, 12 January 2021"
"S.H. and Others v. Austria [GC], no. 57813/00, ECHR 2011"
"S.M. v. Croatia [GC], no. 60561/14, 25 June 2020"
"S.-H. v. Poland (dec.), no. 56846/15 and 56849/15, 16 November 2021"
"Sabeh El Leil v. France [GC], no. 34869/05, 29 June 2011"
"Šaltinytė v. Lithuania, no. 32934/19, 26 October 2021"
"Sampanis and Others v. Greece, no. 32526/05, 5 June 2008"
"Sanlısoy v. Turkey (dec.), no. 77023/12, 8 November 2016"
"Santos Hansen v. Denmark (dec.), no. 17949/07, 9 March 2010"
"Savickis and Others v. Latvia [GC], no. 49270/11, 9 June 2022"
"Savran v. Denmark [GC], no. 57467/15, 7 December 2021"
"Schmidt and Dahlström v. Sweden, 6 February 1976, Series A no. 21"
"Schuler-Zgraggen v. Switzerland, 24 June 1993, Series A no. 263"
"Schuitemaker v. the Netherlands (dec.), no. 15906/08, 4 May 2010"
"Schüth v. Germany, no. 1620/03, ECHR 2010"
"Şerife Yiğit v. Turkey [GC], no. 3976/05, 2 November 2010"
"Siebenhaar v. Germany, no. 18136/02, 3 February 2011"
"Sidabras and Džiautas v. Lithuania, nos. 55480/00 and 59330/00, ECHR 2004-VIII"
"Sigurður A. Sigurjónsson v. Iceland, 30 June 1993, Series A no. 264"
"Siliadin v. France, no. 73316/01, ECHR 2005-VII"
"Simonova v. Bulgaria, no. 30782/16, 11 April 2023"
"Sindicatul “Păstorul cel Bun” v. Romania [GC], no. 2330/09, ECHR 2013 (extracts)"
"Smith and Grady v. the United Kingdom, nos. 33985/96 and 33986/96, ECHR 1999-VI"
"Solomakhin v. Ukraine, no. 24429/03, 15 March 2012"
"Sørensen and Rasmussen v. Denmark [GC], nos. 52562/99 and 52620/99, ECHR 2006-I"
"Statileo v. Croatia, no. 12027/10, 10 July 2014"
"Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, ECHR 2005-X"
"Stec and Others v. the United Kingdom [GC], nos. 65731/01 and 65900/01, ECHR 2006-VI"
"Stefanetti and Others v. Italy, nos. 21838/10 and 7 others, 15 April 2014"
"Straume v. Latvia, no. 59402/14, 2 June 2022"
"Stummer v. Austria [GC], no. 37452/02, ECHR 2011"
"Swedish Transport Workers Union v. Sweden (dec.), no. 53507/99, ECHR 2004-XII (extracts)"
"Tarakhel v. Switzerland [GC], no. 29217/12, ECHR 2014 (extracts)"
"Tchokontio Happi v. France, no. 65829/12, 9 April 2015"
"Teteriny v. Russia, no. 11931/03, 30 June 2005"
"The Karibu Foundation v. Norway, no. 2317/20, 10 November 2022"
"Thlimmenos v. Greece [GC], no. 34369/97, ECHR 2000-IV"
"Topčić-Rosenberg v. Croatia, no. 19391/11, 14 November 2013"
"Travaš v. Croatia, no. 75581/13, 4 October 2016"
"Tüm Haber Sen and Çınar v. Turkey, no. 28602/95, ECHR 2006-II"
"Tysiąc v. Poland, no. 5410/03, ECHR 2007-I"
"Unite the Union v. the United Kingdom (dec.), no. 65397/13, 3 May 2016"
"V.C.L. and A.N. v. the United Kingdom, nos. 77587/12 and 74603/12, 16 February 2021"
"Valdís Fjölnisdóttir and Others v. Iceland, no. 71552/17, 18 May 2021"
"Valkov and Others v. Bulgaria, nos. 2033/04 and 8 others, 25 October 2011"
"Vavřička and Others v. the Czech Republic [GC], nos. 47621/13 and 5 others, 8 April 2021"
"Vilho Eskelinen and Others v. Finland [GC], no. 63235/00, ECHR 2007-II"
"Vilnes and Others v. Norway, nos. 52806/09 and 22703/10, 5 December 2013"
"Vlahov v. Croatia, no. 31163/13, 5 May 2022"
"Vogt v. Germany, 26 September 1995, Series A no. 323"
"Vrountou v. Cyprus, no. 33631/06, 13 October 2015"
"Vörður Ólafsson v. Iceland, no. 20161/06, ECHR 2010"
"Weller v. Hungary, no. 44399/05, 31 March 2009"
"Willis v. the United Kingdom, no. 36042/97, ECHR 2002-IV"
"X and others v. Ireland,* nos. 23851/20 and 24360/20, 22 June 2023"
"Xhoxhaj v. Albania, no. 15227/19, 9 February 2021"
"Yakut Republican Trade-Union Federation v. Russia, no. 29582/09, 7 December 2021"
"Yılmaz v. Turkey, no. 36607/06, 4 June 2019"
"Yocheva and Ganeva v. Bulgaria, nos. 18592/15 and 43863/15, 11 May 2021"
"Young, James and Webster v. the United Kingdom, 13 August 1981, Series A no. 44"
"Yordanova and Others v. Bulgaria, no. 25446/06, 24 April 2012"
"Z v. Finland, 25 February 1997, Reports of Judgments and Decisions 1997-I"
"Zakharova and Others v. Russia, no. 12736/10, 8 March 2022"
"Žegarac v. Serbia (dec.), no. 54805/15 and 10 others, 17 January 2023"
"Zehnalova and Zehnal v. the Czech Republic (dec.), no. 38621/97, 14 May 2002"
"Zeïbek v. Greece, no. 46368/06, 9 July 2009"
